No;Especie;Luz;Microbio;Cosecha;Tiempo;Evento;NSC;Lignina;AMF_Imp;PHN_Imp;NSC_Imp;LIG_Imp
8;Acsa;Baja;Combinado;3;21;0;NA;9.11;55.07;-0.05;5.64;9.11
10;Acru;Baja;Combinado;3;21;0;NA;4.66;36;-0.01;6.37;4.66
22;Acne;Baja;Combinado;NA;22;1;NA;NA;64.93;0.03;7.65;8.34
23;Acne;Baja;Combinado;9;63;0;NA;9.87;71;0;8.02;9.87
32;Acsa;Baja;Combinado;6;42;0;NA;14.51;62;0.13;11.11;14.51
49;Acsa;Baja;Combinado;3;21;0;NA;8.02;63;0.21;10.68;8.02
53;Acru;Baja;Combinado;3;21;0;NA;12.31;23;0.08;8.68;12.31
60;Acne;Baja;Combinado;3;21;0;NA;9.6;52;0.21;10.78;9.6
91;Acne;Baja;Combinado;6;42;0;NA;10.8;73;0.05;9.13;10.8
113;Acsa;Baja;Combinado;6;42;0;NA;13.56;61;-0.01;9.68;13.56
114;Acsa;Baja;Combinado;9;63;0;NA;11.86;72;0.11;10.17;11.86
121;Acne;Baja;Combinado;9;63;0;NA;6.72;60;0.14;10.19;6.72
128;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
136;Acsa;Baja;Combinado;9;63;0;NA;14.78;68.37;0.06;10.63;14.78
143;Acne;Baja;Combinado;NA;63;1;NA;NA;64.93;0.03;7.65;8.34
149;Acsa;Baja;Combinado;NA;38;1;NA;NA;64.89;0.02;9.45;11.49
150;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
158;Acne;Baja;Combinado;NA;46;1;NA;NA;64.93;0.03;7.65;8.34
162;Acru;Baja;Combinado;6;42;0;NA;4.75;47;0.16;9.97;4.75
165;Acsa;Baja;Combinado;3;21;0;NA;11.09;53;0.14;10.28;11.09
166;Acru;Baja;Combinado;9;63;0;NA;13.84;64;0.06;9.77;13.84
174;Acne;Baja;Combinado;NA;40;1;NA;NA;64.93;0.03;7.65;8.34
179;Acru;Baja;Combinado;6;42;0;NA;6.53;46;0.25;10.76;6.53
193;Acru;Baja;Combinado;9;63;1;1.81;NA;35.46;-0.02;1.81;7.69
196;Acru;Baja;Combinado;NA;30;1;NA;NA;35.94;-0.01;5.18;7.42
201;Acru;Baja;Combinado;NA;27;1;NA;NA;35.94;-0.01;5.18;7.42
202;Acne;Baja;Combinado;3;21;0;NA;8.14;71;0.12;9.29;8.14
204;Acsa;Baja;Combinado;NA;29;1;NA;NA;64.89;0.02;9.45;11.49
205;Acne;Baja;Combinado;6;42;0;NA;8.45;72;0.15;10.85;8.45
209;Acsa;Baja;Combinado;3;21;0;NA;12.83;58;0.18;11.39;12.83
242;Acne;Baja;Combinado;9;63;0;NA;7.28;63;0.24;11.4;7.28
258;Acru;Baja;Combinado;9;63;1;NA;7.03;54;0.09;8.73;7.03
283;Acru;Baja;Combinado;3;21;0;NA;7.61;31.33;0.23;10.44;7.61
284;Acru;Baja;Combinado;NA;27;1;NA;NA;35.94;-0.01;5.18;7.42
285;Acru;Baja;Combinado;NA;33;1;NA;NA;35.94;-0.01;5.18;7.42
289;Acru;Baja;Combinado;3;21;0;NA;12.45;34;0.08;8.86;1245
292;Acne;Baja;Combinado;NA;63;1;NA;NA;64.93;0.03;7.65;8.34
298;Acne;Baja;Combinado;3;21;0;NA;6.56;57;-0.03;6.66;6.56
308;Acne;Baja;Combinado;NA;22;1;NA;NA;64.93;0.03;7.65;8.34
312;Acsa;Baja;Combinado;6;42;0;NA;12.45;68;-0.01;9.78;12.45
331;Acne;Baja;Combinado;6;42;0;NA;5.76;76;0.25;11.36;5.76
351;Acsa;Baja;Combinado;9;63;0;NA;13.22;61;0.34;13.35;13.22
364;Acru;Baja;Combinado;9;63;1;NA;8.18;43.75;0.04;7.75;8.18
372;Acru;Baja;Combinado;6;42;0;NA;9.79;51;0.18;9.86;9.79
375;Acsa;Baja;Combinado;9;63;0;NA;15.24;70;0.28;13.59;15.24
377;Acne;Baja;Combinado;9;63;1;NA;7.25;72.73;0.28;12.13;7.25
380;Acru;Baja;Combinado;6;42;0;NA;4.26;42.42;0.16;9.91;4.26
383;Acru;Baja;Combinado;9;63;1;2.28;NA;35.46;-0.02;2.28;7.69
390;Acsa;Baja;Combinado;6;42;0;NA;10.84;59.77;0.16;10.45;10.84
405;Acsa;Baja;Combinado;NA;41;1;NA;NA;64.89;0.02;9.45;11.49
406;Acru;Baja;Combinado;9;63;1;8.63;NA;47.63;0.09;8.63;7.71
407;Acsa;Baja;Combinado;3;21;0;NA;13.07;60;0.21;12;13.07
410;Acsa;Baja;Combinado;6;42;0;NA;13.56;68.92;0.21;12.24;13.56
419;Acru;Baja;Combinado;NA;63;1;NA;NA;35.94;-0.01;5.18;7.42
424;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
441;Acru;Baja;Combinado;NA;48;1;NA;NA;35.94;-0.01;5.18;7.42
443;Acru;Baja;Combinado;NA;27;1;NA;NA;35.94;-0.01;5.18;7.42
451;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
456;Acne;Baja;Combinado;9;63;1;5.81;NA;55.81;-0.02;5.81;7.94
471;Acru;Baja;Combinado;9;63;0;NA;7.11;51;0.06;8.19;7.11
475;Acru;Baja;Combinado;NA;18;1;NA;NA;35.94;-0.01;5.18;7.42
479;Acne;Baja;Combinado;NA;34;1;NA;NA;64.93;0.03;7.65;8.34
480;Acne;Baja;Combinado;3;21;0;NA;6.59;60;0.09;8.88;6.59
483;Acne;Baja;Combinado;NA;40;1;NA;NA;64.93;0.03;7.65;8.34
487;Acsa;Baja;Combinado;NA;23;1;NA;NA;64.89;0.02;9.45;11.49
496;Acru;Baja;Combinado;3;21;0;NA;10.04;32.32;0.04;6.74;10.04
498;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
501;Acru;Baja;Combinado;3;21;0;NA;8.37;44.09;-0.05;5.9;8.37
502;Acru;Baja;Combinado;6;42;0;NA;9.72;60;-0.11;6.25;9.72
503;Acru;Baja;Combinado;9;63;1;5.48;NA;36.64;-0.01;5.48;7.36
506;Acne;Baja;Combinado;NA;55;1;NA;NA;64.93;0.03;7.65;8.34
513;Acne;Baja;Combinado;3;21;0;NA;5.34;75;0.2;10.85;5.34
517;Acsa;Baja;Combinado;3;21;0;NA;13.54;59;0.41;13.53;1354
538;Acru;Baja;Combinado;6;42;0;NA;12.91;64.13;0.02;9.41;12.91
539;Acne;Baja;Combinado;6;42;0;NA;4.75;74;0.01;9.1;4.75
581;Acne;Baja;Combinado;6;42;0;NA;5.56;67;0.09;9.17;5.56
584;Acru;Baja;Combinado;NA;36;1;NA;NA;35.94;-0.01;5.18;7.42
606;Acne;Baja;Combinado;9;63;0;NA;8.7;80;0.17;12.39;8.7
609;Acne;Baja;Combinado;9;63;0;NA;8.35;77;0.27;13.06;8.35
613;Acsa;Baja;Combinado;9;63;0;NA;12.85;82.11;0.02;11.14;12.85
617;Acsa;Baja;Combinado;6;42;0;NA;10.51;53;0;6.96;10.51
622;Acsa;Baja;Combinado;9;63;0;NA;13.17;78.57;-0.04;10.14;13.17
627;Acru;Baja;Combinado;9;63;1;NA;12.15;54.55;0.15;10.15;12.15
630;Acne;Baja;Combinado;NA;43;1;NA;NA;64.93;0.03;7.65;8.34
639;Acne;Baja;Combinado;NA;63;1;NA;NA;64.93;0.03;7.65;8.34
645;Acne;Baja;Combinado;NA;63;1;NA;NA;64.93;0.03;7.65;8.34
663;Acne;Baja;Combinado;3;21;0;NA;4.57;55;0.12;8.99;4.57
666;Acru;Baja;Combinado;NA;42;1;NA;NA;35.94;-0.01;5.18;7.42
669;Acru;Baja;Combinado;9;63;1;NA;10.89;51.09;0.02;7.83;10.89
676;Acne;Baja;Combinado;6;42;0;NA;5.11;75;-0.06;8.34;5.11
693;Acsa;Baja;Combinado;NA;44;1;NA;NA;64.89;0.02;9.45;11.49
694;Acsa;Baja;Combinado;NA;47;1;NA;NA;64.89;0.02;9.45;11.49
703;Acsa;Baja;Combinado;3;21;0;NA;13.91;49;0.18;12.17;13.91
704;Acru;Baja;Combinado;NA;30;1;NA;NA;35.94;-0.01;5.18;7.42
722;Acne;Baja;Combinado;9;63;0;NA;6.22;75;0.02;9.27;6.22
728;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
748;Acru;Baja;Combinado;NA;63;1;NA;NA;35.94;-0.01;5.18;7.42
752;Acru;Baja;Combinado;3;21;0;NA;9.92;40.28;0.17;9.74;9.92
761;Acsa;Baja;Combinado;6;42;0;NA;11.37;53;0.37;12.1;11.37
767;Acsa;Baja;Combinado;3;21;0;NA;11.85;64.71;0.1;9.77;11.85
777;Acne;Baja;Combinado;NA;46;1;NA;NA;64.93;0.03;7.65;8.34
792;Acne;Baja;Combinado;3;21;0;NA;6.57;77;0;9.07;6.57
794;Acru;Baja;Combinado;3;21;0;NA;5.93;33.87;0.19;9.71;5.93
801;Acne;Baja;Combinado;9;63;1;7.59;NA;65.04;0.03;7.59;8.34
810;Acsa;Baja;Combinado;6;42;0;NA;12.99;69;0.14;11.39;12.99
811;Acne;Baja;Combinado;NA;53;1;NA;NA;64.93;0.03;7.65;8.34
820;Acru;Baja;Combinado;6;42;0;NA;5.62;51.58;0.14;9.86;5.62
857;Acne;Baja;Combinado;NA;31;1;NA;NA;64.93;0.03;7.65;8.34
860;Acru;Baja;Combinado;6;42;0;NA;9.91;32;0.16;9.49;9.91
869;Acne;Baja;Combinado;6;42;0;NA;10.7;69;0.06;8.91;10.7
876;Acne;Baja;Combinado;3;21;0;NA;10.81;85.37;0.14;12.23;10.81
878;Acru;Baja;Combinado;9;63;0;NA;11.87;54;0.25;11.03;11.87
880;Acsa;Baja;Combinado;9;63;0;NA;15.5;69;0.39;14.24;15.5
884;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;1149
887;Acne;Baja;Combinado;9;63;0;NA;5.49;85;0.36;12.85;5.49
891;Acne;Baja;Combinado;6;42;0;NA;9.76;71;0.04;8.48;9.76
893;Acru;Baja;Combinado;NA;21;1;NA;NA;35.94;-0.01;5.18;7.42
896;Acne;Baja;Combinado;NA;31;1;NA;NA;64.93;0.03;7.65;8.34
901;Acsa;Baja;Combinado;9;63;0;NA;11.39;64;0.22;11.15;11.39
908;Acru;Baja;Combinado;3;21;0;NA;5.08;35.05;0;6.61;5.08
909;Acne;Baja;Combinado;9;63;1;6.39;NA;53.41;-0.04;6.39;7.45
919;Acsa;Baja;Combinado;NA;32;1;NA;NA;64.89;0.02;9.45;11.49
922;Acru;Baja;Combinado;9;63;1;NA;5.87;46.24;0.09;8.77;5.87
937;Acru;Baja;Combinado;NA;18;1;NA;NA;35.94;-0.01;5.18;7.42
942;Acsa;Baja;Combinado;3;21;0;NA;14.13;50;0.21;12.61;14.13
949;Acru;Baja;Combinado;9;63;1;NA;NA;35.94;-0.01;5.18;7.42
953;Acsa;Baja;Combinado;9;63;0;NA;10.77;74;-0.1;8.02;10.77
968;Acne;Baja;Combinado;NA;34;1;NA;NA;64.93;0.03;7.65;8.34
977;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
981;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
984;Acne;Baja;Combinado;3;21;0;NA;8.71;69;0.25;12.17;8.71
986;Acne;Baja;Combinado;6;42;0;NA;8.95;67.86;0.1;9.18;8.95
1002;Acsa;Baja;Combinado;3;21;0;NA;11.86;46;0.36;12.44;11.86
1008;Acsa;Baja;Combinado;6;42;0;NA;8.68;63;0.04;7.95;8.68
1018;Acru;Baja;Combinado;NA;33;1;NA;NA;35.94;-0.01;5.18;7.42
1062;Acru;Baja;Combinado;6;42;0;NA;6.87;46.46;0.01;7.86;6.87
1063;Acne;Baja;Combinado;9;63;0;NA;6.38;86;0.11;10.52;6.38
1067;Acsa;Baja;Combinado;NA;38;1;NA;NA;64.89;0.02;9.45;11.49
1072;Acru;Baja;Combinado;NA;36;1;NA;NA;35.94;-0.01;5.18;7.42
1074;Acne;Baja;Combinado;9;63;1;NA;7.54;84;0.21;12.35;7.54
1085;Acru;Baja;Combinado;9;63;0;NA;5.02;40;0.26;10.66;5.02
1092;Acsa;Baja;Combinado;NA;63;1;NA;NA;64.89;0.02;9.45;11.49
1098;Acru;Baja;Combinado;3;21;0;NA;8.51;23;0.19;9.84;8.51
1104;Acsa;Baja;Combinado;6;42;0;NA;9.61;68;0.08;8.46;9.61
1106;Acru;Baja;Combinado;NA;27;1;NA;NA;35.94;-0.01;5.18;7.42
1110;Acru;Baja;Combinado;6;42;0;NA;9.41;32;0.02;6.48;9.41
1113;Acne;Baja;Combinado;NA;28;1;NA;NA;64.93;0.03;7.65;8.34
1115;Acru;Baja;Combinado;9;63;1;NA;11.58;64;0.01;8.64;11.58
1116;Acne;Baja;Combinado;NA;28;1;NA;NA;64.93;0.03;7.65;8.34
1119;Acne;Baja;Combinado;3;21;0;NA;6.95;67;0.14;10.39;6.95
1132;Acne;Baja;Combinado;NA;63;1;NA;NA;64.93;0.03;7.65;8.34
1152;Acru;Baja;Combinado;NA;27;1;NA;NA;35.94;-0.01;5.18;7.42
1160;Acru;Baja;Combinado;9;63;1;8.59;NA;48.42;0.08;8.59;9.36
1167;Acru;Baja;Combinado;NA;24;1;NA;NA;35.94;-0.01;5.18;7.42
1180;Acsa;Baja;Combinado;9;63;0;NA;11.7;68;0.36;12.5;11.7
1188;Acru;Baja;Combinado;NA;63;1;NA;NA;35.94;-0.01;5.18;7.42
1189;Acsa;Baja;Combinado;NA;35;1;NA;NA;64.89;0.02;9.45;11.49
1194;Acne;Baja;Combinado;6;42;0;NA;8.55;67;0.1;8.99;8.55
1198;Acsa;Baja;Combinado;NA;35;1;NA;NA;64.89;0.02;9.45;11.49
1202;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1207;Acne;Alta;Combinado;3;21;0;NA;7.89;78;0.56;16.09;7.89
1211;Acru;Alta;Combinado;3;21;0;NA;9.5;35.29;0.54;14.88;9.5
1219;Acru;Alta;Combinado;3;21;0;NA;7.19;33;0.3;12.11;7.19
1226;Acsa;Alta;Combinado;3;21;0;NA;12.48;55;0.26;12.07;12.48
1244;Acsa;Alta;Combinado;9;63;0;NA;12.83;67;0.15;11.05;12.83
1249;Acru;Alta;Combinado;6;42;0;NA;6.08;57.47;-0.06;7.69;6.08
1256;Acsa;Alta;Combinado;3;21;0;NA;14.09;68;0.48;15.54;14.09
1272;Acru;Alta;Combinado;9;63;0;NA;7.56;65;0.14;10.7;7.56
1284;Acru;Alta;Combinado;NA;63;1;NA;NA;43.96;0.22;11.18;7.18
1285;Acsa;Alta;Combinado;6;42;0;NA;12.49;63;0.53;14.91;12.49
1286;Acsa;Alta;Combinado;6;42;0;NA;13.69;69;0.13;11.13;13.69
1308;Acne;Alta;Combinado;6;42;0;NA;2.8;85;0.63;16.32;2.8
1315;Acsa;Alta;Combinado;9;63;0;NA;12.48;81;0.27;13.74;12.48
1318;Acru;Alta;Combinado;NA;35;1;NA;NA;43.96;0.22;11.18;7.18
1336;Acne;Alta;Combinado;6;42;0;NA;7.37;83;0.12;10.78;7.37
1343;Acsa;Alta;Combinado;NA;63;1;NA;NA;66.45;0.42;13.73;12.49
1347;Acru;Alta;Combinado;NA;63;1;NA;NA;43.96;0.22;11.18;7.18
1355;Acru;Alta;Combinado;6;42;0;NA;4.29;54;0.57;13.82;4.29
1356;Acne;Alta;Combinado;9;63;0;NA;3.39;90;0.17;11.97;3.39
1359;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1364;Acsa;Alta;Combinado;NA;63;1;NA;NA;66.45;0.42;13.73;12.49
1368;Acru;Alta;Combinado;9;63;0;NA;6.89;60.2;0.35;12.45;6.89
1372;Acru;Alta;Combinado;3;21;0;NA;2.78;37.18;0.14;10.42;2.78
1375;Acne;Alta;Combinado;3;21;0;NA;5.27;74;0.23;11.27;5.27
1377;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1381;Acru;Alta;Combinado;NA;63;1;NA;NA;43.96;0.22;11.18;7.18
1414;Acru;Alta;Combinado;3;21;0;NA;4.2;48.15;0.4;12.79;4.2
1429;Acne;Alta;Combinado;9;63;0;NA;9.75;88;0.27;14.4;9.75
1441;Acsa;Alta;Combinado;NA;63;1;NA;NA;66.45;0.42;13.73;12.49
1445;Acru;Alta;Combinado;6;42;0;NA;14.2;41;-0.01;9.36;14.2
1456;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1464;Acne;Alta;Combinado;6;42;0;NA;11.33;79;0.3;13.55;11.33
1472;Acsa;Alta;Combinado;3;21;0;NA;11.69;60;0.37;13.03;11.69
1486;Acsa;Alta;Combinado;NA;63;1;NA;NA;66.45;0.42;13.73;12.49
1494;Acne;Alta;Combinado;9;63;0;NA;9.27;85;0.55;20.41;9.27
1504;Acsa;Alta;Combinado;6;42;0;NA;11.82;62;0.31;12.41;11.82
1528;Acru;Alta;Combinado;9;63;0;NA;7.1;50;0.25;11.8;7.1
1536;Acne;Alta;Combinado;NA;33;1;NA;NA;81.82;0.55;17.47;8.44
1542;Acne;Alta;Combinado;3;21;0;NA;6.13;67;0.48;13.52;6.13
1546;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1554;Acsa;Alta;Combinado;3;21;0;NA;12.36;65;0.24;11.6;12.36
1578;Acne;Alta;Combinado;6;42;0;NA;10.37;75;-0.08;7.14;10.37
1579;Acru;Alta;Combinado;6;42;0;NA;4.71;44;0.05;9.43;4.71
1588;Acsa;Alta;Combinado;9;63;0;NA;14.15;85;0.38;15.35;14.15
1590;Acsa;Alta;Combinado;6;42;0;NA;13.29;65;0.37;13.47;13.29
1596;Acne;Alta;Combinado;NA;63;1;NA;NA;81.82;0.55;17.47;8.44
1600;Acsa;Alta;Combinado;9;63;0;NA;13.17;67;-0.01;9.75;13.17
1602;Acru;Alta;Combinado;9;63;0;NA;8.35;41;0.38;13.03;8.35
1610;Acne;Alta;Combinado;9;63;0;NA;6.65;93;0.11;10.91;6.65
1611;Acru;Alta;Combinado;NA;23;1;NA;NA;43.96;0.22;11.18;7.18
1625;Acru;Alta;Combinado;6;42;0;NA;8.76;37.31;0.56;14.63;8.76
