No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
8,Acsa,Low,Combined,6,1,3,21,0,38,69,55.07,-0.05,NA,9.11,55.07,-0.05,5.64,9.11
10,Acru,Low,Combined,3,1,3,21,0,27,75,36,-0.01,NA,4.66,36,-0.01,6.37,4.66
22,Acne,Low,Combined,10,1,NA,22,1,NA,NA,NA,NA,NA,NA,64.93,0.03,7.65,8.34
23,Acne,Low,Combined,11,1,9,63,0,71,100,71,0,NA,9.87,71,0,8.02,9.87
32,Acsa,Low,Combined,6,1,6,42,0,62,100,62,0.13,NA,14.51,62,0.13,11.11,14.51
49,Acsa,Low,Combined,7,1,3,21,0,63,100,63,0.21,NA,8.02,63,0.21,10.68,8.02
53,Acru,Low,Combined,2,1,3,21,0,23,100,23,0.08,NA,12.31,23,0.08,8.68,12.31
59,Acsa,Low,Combined,7,1,3,21,0,NA,NA,NA,NA,4.55,NA,49.77,-0.04,4.55,10.19
60,Acne,Low,Combined,10,1,3,21,0,52,100,52,0.21,NA,9.6,52,0.21,10.78,9.6
67,Acsa,Low,Combined,7,1,6,42,0,NA,NA,NA,NA,8.22,NA,63.07,0.05,8.22,9.46
78,Acru,Low,Combined,3,1,3,21,0,NA,NA,NA,NA,7.44,NA,44.51,0.01,7.44,8.21
79,Acsa,Low,Combined,5,1,6,42,0,NA,NA,NA,NA,12.67,NA,59.92,0.29,12.67,12.73
85,Acne,Low,Combined,9,1,3,21,0,NA,NA,NA,NA,9.31,NA,63.61,0.09,9.31,7.12
90,Acru,Low,Combined,1,1,3,21,0,NA,NA,NA,NA,4.4,NA,35.46,-0.02,4.4,7.69
91,Acne,Low,Combined,10,1,6,42,0,73,100,73,0.05,NA,10.8,73,0.05,9.13,10.8
101,Acsa,Low,Combined,5,1,3,21,0,NA,NA,NA,NA,7.78,NA,59.59,0.02,7.78,9.89
